"","tasa_desocup_m","tasa_participacion_m"
"1",0.101870331639778,0.400113838139428
"2",0.109374650072064,0.375455344207245
"3",0.114239960164778,0.382620235315515
"4",0.1025459726474,0.40050483274861
"5",0.0907019031579591,0.412990558250633
"6",0.0844516948692572,0.410019457993462
"7",0.0809002688995209,0.414809385921526
"8",0.0811366125690063,0.420950053071162
"9",0.0789812442381953,0.427658088128481
"10",0.0742236922846727,0.436232069202282
"11",0.0791167742528992,0.43900528289144
"12",0.0871202210114439,0.426247250477347
"13",0.0921971833865449,0.417779337933531
"14",0.0927338287279318,0.420186780143002
"15",0.0851514546755901,0.43768224459687
"16",0.0920862388635965,0.442026742704843
"17",0.089808537122002,0.435873956214616
"18",0.0915412496639928,0.422338526053917
"19",0.0887858303320679,0.41952570958097
"20",0.0827010538503581,0.420125677328038
"21",0.0791630999677201,0.423493073154242
"22",0.0721411696354124,0.428149189118745
"23",0.0732642132321283,0.436117396975742
"24",0.0746544717794065,0.434629876065495
"25",0.0814821633283324,0.433665329796577
"26",0.0795848125624901,0.426897586344681
"27",0.0839405304526046,0.430371391464026
"28",0.0761835920321542,0.430152718671165
"29",0.0843062531222379,0.430312652257031
"30",0.0858900938639984,0.427727737692017
"31",0.0923782540739712,0.426897128677239
"32",0.0903911388382759,0.437498915437459
"33",0.0812131793303325,0.431800750302099
"34",0.0837732019183395,0.429365606903481
"35",0.0803050334182498,0.436497095005045
"36",0.0830931857958435,0.439145618714626
"37",0.0848236398451796,0.44102888047202
"38",0.0909875402768925,0.432641429958222
"39",0.0895479099916242,0.430265312619531
"40",0.083957965445309,0.421192958515489
"41",0.0752549713240513,0.40859794319875
"42",0.0708011906380386,0.406871527382037
"43",0.0658478697141726,0.405516324890368
"44",0.0697487048544091,0.407102547509566
"45",0.069102669226816,0.40978589770431
"46",0.0779924552026829,0.412950163306821
"47",0.0841497235305431,0.415406728212186
"48",0.0861320641435693,0.408869919462098
"49",0.0797491531942016,0.41497346342774
"50",0.0747704011621334,0.418951523950436
"51",0.0752738927154939,0.424181185553762
"52",0.0720209066714303,0.415655739938588
"53",0.0732512560462315,0.412384347166855
"54",0.0737555778455092,0.413093425786416
"55",0.0794885167456641,0.419298745263025
"56",0.0731143939397376,0.422682312380261
"57",0.0687828803749032,0.424145824471004
"58",0.0706590488944013,0.430914501977314
"59",0.0758808978539913,0.426996047988645
"60",0.0686969664806054,0.431789985168575
"61",0.0740233204119197,0.426885326177216
"62",0.0676149860842817,0.431094797583439
"63",0.0745502583946007,0.436316041330296
"64",0.0678204061684975,0.437525942149043
"65",0.0734697150153366,0.429188017779546
"66",0.0724604895403903,0.429644329623469
"67",0.0719381225892432,0.432673851975213
"68",0.0718870768699429,0.426372001010571
"69",0.063043244546698,0.428605645334227
"70",0.0586169611105479,0.43079072590852
"71",0.0534071603035651,0.436693618532566
"72",0.0645404019916134,0.428530752433307
"73",0.0728078023982621,0.429381025391451
"74",0.0765771725841988,0.430314831300787
"75",0.0771797022099746,0.437533374043501
"76",0.0699383435305451,0.441608055317877
"77",0.0711432296389582,0.443735299852552
"78",0.072226478370015,0.433477139029872
"79",0.0667298805807482,0.431539364255391
"80",0.065522469770152,0.428847630490548
"81",0.0568608293224376,0.431992058987247
"82",0.0557046975933497,0.426318029733291
"83",0.0551237539568078,0.434886056631433
"84",0.0623072159607704,0.431906582132133
"85",0.0687226263433355,0.426592628154867
"86",0.0693013811418264,0.422646322239964
"87",0.0656558315958146,0.427907243970606
"88",0.0682713911892303,0.431227596234438
"89",0.0738458405937429,0.428339698978413
